Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,14/07/12,Corinthians,Nautico,A,9
2,14/07/12,Figueirense,Atlético-MG,A,9
3,14/07/12,Ponte Preta,Coritiba,A,9
4,15/07/12,Botafogo,Fluminense,A,9
5,15/07/12,Internacional,Santos,A,9
6,15/07/12,Bahia,Flamengo,A,9
7,15/07/12,Cruzeiro,Grêmio,A,9
8,15/07/12,Sport,Portuguesa,A,9
9,15/07/12,Vasco,Atlético-GO,A,9
10,15/07/12,Palmeiras,São Paulo,A,9
11,17/07/12,ABC,Criciúma,B,11
12,08/09/12,São Caetano,ABC,B,23
13,11/09/12,América-MG,São Caetano,B,24
14,09/10/12,ASA,Guaratinguetá,B,29
