Rodada,Data,Time da Casa,Placar,Time Visitante
1F,13/07/58,Botafogo,2-1,Fluminense
1F,19/07/58,Canto do Rio,0-4,Flamengo
1F,20/07/58,Olaria,2-2,America-RJ
1F,20/07/58,São Cristóvão,4-0,Bonsucesso
1F,20/07/58,Portuguesa-RJ,6-0,Madureira
1F,20/07/58,Bangu,1-3,Vasco
1F,25/07/58,Vasco,4-2,Bonsucesso
1F,26/07/58,Olaria,1-2,Fluminense
1F,26/07/58,Botafogo,1-2,São Cristóvão
1F,27/07/58,Canto do Rio,1-2,Portuguesa-RJ
1F,27/07/58,America-RJ,1-0,Flamengo
1F,27/07/58,Bangu,2-1,Madureira
1F,02/08/58,Botafogo,6-0,Olaria
1F,02/08/58,Flamengo,4-1,Bonsucesso
1F,03/08/58,America-RJ,0-1,Fluminense
1F,03/08/58,Portuguesa-RJ,3-1,Bangu
1F,03/08/58,São Cristóvão,3-2,Canto do Rio
1F,03/08/58,Madureira,3-1,Vasco
1F,09/08/58,Vasco,4-0,São Cristóvão
1F,09/08/58,Madureira,1-2,Fluminense
1F,10/08/58,Bangu,1-0,Botafogo
1F,10/08/58,Olaria,1-3,Bonsucesso
1F,10/08/58,America-RJ,1-1,Canto do Rio
1F,10/08/58,Flamengo,5-0,Portuguesa-RJ
1F,15/08/58,Botafogo,3-1,Bonsucesso
1F,16/08/58,Canto do Rio,0-3,Vasco
1F,16/08/58,Bangu,2-1,Flamengo
1F,17/08/58,Fluminense,1-1,São Cristóvão
1F,17/08/58,Olaria,1-1,Portuguesa-RJ
1F,17/08/58,America-RJ,5-1,Madureira
1F,23/08/58,America-RJ,1-0,São Cristóvão
1F,23/08/58,Portuguesa-RJ,0-4,Botafogo
1F,24/08/58,Madureira,0-1,Canto do Rio
1F,24/08/58,Vasco,1-0,Fluminense
1F,24/08/58,Flamengo,8-0,Olaria
1F,24/08/58,Bonsucesso,3-1,Bangu
1F,28/08/58,Olaria,2-2,Bangu
1F,30/08/58,Flamengo,2-2,Botafogo
1F,30/08/58,Bonsucesso,0-2,Portuguesa-RJ
1F,31/08/58,Madureira,1-0,São Cristóvão
1F,31/08/58,Vasco,2-1,America-RJ
1F,31/08/58,Canto do Rio,0-1,Fluminense
1F,04/09/58,Olaria,1-2,Canto do Rio
1F,05/09/58,America-RJ,3-3,Botafogo
1F,06/09/58,São Cristóvão,0-1,Bangu
