Rodada,Data,Time da Casa,Placar,Time Visitante
C,02/05/15,Flamengo,WO,Rio Cricket
C,03/05/15,São Cristóvão,1-3,Fluminense
C,09/05/15,Fluminense,0-5,Flamengo
C,09/05/15,Rio Cricket,0-3,Botafogo
C,13/05/15,Botafogo,1-0,America-RJ
C,16/05/15,Fluminense,3-1,Rio Cricket
C,16/05/15,Bangu,0-5,America-RJ
C,23/05/15,São Cristóvão,0-5,Flamengo
C,23/05/15,Bangu,3-5,Fluminense
C,30/05/15,Flamengo,2-1,Botafogo
C,30/05/15,Rio Cricket,0-8,America-RJ
C,13/06/15,America-RJ,3-1,São Cristóvão
C,13/06/15,Rio Cricket,3-1,Bangu
C,04/07/15,Fluminense,2-2,Botafogo
C,04/07/15,Bangu,8-2,São Cristóvão
C,11/07/15,São Cristóvão,0-1,Rio Cricket
C,11/07/15,America-RJ,2-4,Flamengo
C,18/07/15,Botafogo,4-1,Bangu
C,25/07/15,Botafogo,3-1,São Cristóvão
C,25/07/15,Bangu,0-4,Flamengo
C,01/08/15,Rio Cricket,2-5,Flamengo
C,01/08/15,Fluminense,9-1,São Cristóvão
C,15/08/15,Botafogo,6-3,Rio Cricket
C,15/08/15,America-RJ,6-1,Bangu
C,22/08/15,Flamengo,1-1,Fluminense
C,22/08/15,São Cristóvão,3-0,Bangu
C,29/08/15,Rio Cricket,0-5,Fluminense
C,29/08/15,America-RJ,3-0,Botafogo
C,05/09/15,Flamengo,0-0,São Cristóvão
C,05/09/15,Fluminense,5-0,Bangu
C,19/09/15,Botafogo,0-0,Flamengo
C,19/09/15,America-RJ,7-0,Rio Cricket
C,26/09/15,São Cristóvão,1-3,America-RJ
C,26/09/15,Bangu,4-1,Rio Cricket
C,10/10/15,Flamengo,2-2,America-RJ
C,10/10/15,Rio Cricket,1-4,São Cristóvão
C,12/10/15,Botafogo,1-4,Fluminense
C,17/10/15,Fluminense,2-1,America-RJ
C,17/10/15,Bangu,4-2,Botafogo
C,31/10/15,São Cristóvão,4-1,Botafogo
C,31/10/15,Flamengo,5-1,Bangu
C,01/11/15,America-RJ,5-3,Fluminense
