Rodada,Data,Time da Casa,Placar,Time Visitante
C,03/05/16,Fluminense,3-3,São Cristóvão
C,07/05/16,Andarahy,0-4,Flamengo
C,07/05/16,Bangu,2-0,America-RJ
C,13/05/16,Flamengo,4-1,Fluminense
C,14/05/16,Botafogo,2-1,São Cristóvão
C,14/05/16,America-RJ,2-1,Andarahy
C,28/05/16,America-RJ,2-1,Botafogo
C,28/05/16,Bangu,4-2,Flamengo
C,25/06/16,Botafogo,2-7,Fluminense
C,25/06/16,Bangu,1-0,Andarahy
C,16/07/16,São Cristóvão,2-2,Bangu
C,23/07/16,America-RJ,2-4,São Cristóvão
C,06/08/16,Andarahy,2-1,Fluminense
C,06/08/16,São Cristóvão,2-3,Flamengo
C,06/08/16,Bangu,1-3,Botafogo
C,20/08/16,Andarahy,2-3,São Cristóvão
C,20/08/16,Fluminense,0-2,America-RJ
C,27/08/16,Andarahy,3-2,Botafogo
C,27/08/16,Flamengo,1-2,America-RJ
C,03/09/16,Botafogo,1-1,Flamengo
C,03/09/16,Fluminense,2-1,Bangu
C,10/09/16,São Cristóvão,1-2,Fluminense
C,10/09/16,Botafogo,2-1,Bangu
C,20/09/16,Botafogo,0-1,America-RJ
C,01/10/16,America-RJ,3-1,Flamengo
C,01/10/16,Bangu,2-1,São Cristóvão
C,08/10/16,Flamengo,3-2,São Cristóvão
C,08/10/16,Andarahy,1-0,America-RJ
C,22/10/16,São Cristóvão,3-8,Botafogo
C,29/10/16,Flamengo,3-3,Botafogo
C,29/10/16,Andarahy,5-2,Bangu
C,01/11/16,America-RJ,2-1,Fluminense
C,05/11/16,São Cristóvão,1-0,Andarahy
C,05/11/16,Flamengo,0-1,Bangu
C,12/11/16,São Cristóvão,0-1,America-RJ
C,12/11/16,Botafogo,3-2,Andarahy
C,19/11/16,Flamengo,0-0,Andarahy
C,19/11/16,Bangu,4-1,Fluminense
C,26/11/16,Fluminense,3-3,Botafogo
C,26/11/16,America-RJ,2-1,Bangu
C,03/12/16,Fluminense,0-0,Andarahy
C,08/12/16,Fluminense,3-1,Flamengo
