Rodada,Data,Time da Casa,Placar,Time Visitante
C,07/05/33,Fluminense,3-1,Vasco
C,07/05/33,America-RJ,2-6,Bangu
C,14/05/33,Fluminense,0-2,Bangu
C,14/05/33,America-RJ,1-1,Bonsucesso
C,21/05/33,Vasco,3-3,Bonsucesso
C,21/05/33,America-RJ,3-0,Fluminense
C,28/05/33,Fluminense,5-2,Bonsucesso
C,28/05/33,Vasco,2-2,Bangu
C,10/06/33,Fluminense,1-3,Flamengo
C,11/06/33,Vasco,3-0,America-RJ
C,11/06/33,Bonsucesso,3-4,Bangu
C,25/06/33,Flamengo,2-1,Vasco
C,09/07/33,America-RJ,3-2,Flamengo
C,23/07/33,Bangu,2-2,Flamengo
C,30/07/33,Bonsucesso,2-1,Flamengo
C,27/08/33,Bonsucesso,0-1,Fluminense
C,27/08/33,Bangu,0-3,Vasco
C,17/09/33,Flamengo,0-2,Fluminense
C,24/09/33,Fluminense,4-2,America-RJ
C,24/09/33,Bonsucesso,0-5,Bangu
C,01/10/33,Vasco,2-0,Flamengo
C,15/10/33,Flamengo,1-3,Bangu
C,22/10/33,Bonsucesso,2-1,America-RJ
C,22/10/33,Vasco,0-1,Fluminense
C,29/10/33,Flamengo,0-2,America-RJ
C,05/11/33,Flamengo,WO,Bonsucesso
C,12/11/33,America-RJ,1-3,Vasco
C,12/11/33,Bangu,4-0,Fluminense
C,15/11/33,Bonsucesso,1-0,Vasco
C,15/11/33,Bangu,7-3,America-RJ
