Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,17/09/13,Sport,Guaratinguetá,B,23
2,17/09/13,Bragantino,ABC,B,23
3,17/09/13,Paraná,Paysandu,B,23
4,17/09/13,ASA,Boa Esporte,B,23
5,21/09/13,Fluminense,Coritiba,A,23
6,21/09/13,EC Vitória,Grêmio,A,23
7,22/09/13,Goiás,São Paulo,A,23
8,22/09/13,Internacional,Portuguesa,A,23
9,22/09/13,Nautico,Flamengo,A,23
10,22/09/13,Botafogo,Bahia,A,23
11,22/09/13,Corinthians,Cruzeiro,A,23
12,22/09/13,Santos,Criciúma,A,23
13,22/09/13,Athletico-PR,Ponte Preta,A,23
14,22/09/13,Atlético-MG,Vasco,A,23
