Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,19/10/13,ABC,Guaratinguetá,B,31
2,19/10/13,Bragantino,Palmeiras,B,31
3,19/10/13,Figueirense,Joinville,B,31
4,20/10/13,São Caetano,Icasa,B,31
5,26/10/13,Botafogo,Atlético-MG,A,31
6,26/10/13,Cruzeiro,Criciúma,A,31
7,27/10/13,Bahia,Athletico-PR,A,31
8,27/10/13,Corinthians,Santos,A,31
9,27/10/13,Internacional,São Paulo,A,31
10,27/10/13,Ponte Preta,Vasco,A,31
11,27/10/13,Portuguesa,Flamengo,A,31
12,27/10/13,Coritiba,Grêmio,A,31
13,27/10/13,Fluminense,EC Vitória,A,31
14,27/10/13,Nautico,Goiás,A,31
