Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,02/07/13,Paysandu,Guaratinguetá,B,7
2,05/07/13,América-MG,Paraná,B,7
3,06/07/13,Icasa,Ceará,B,7
4,06/07/13,Palmeiras,Oeste,B,7
5,13/07/13,Santos,Portuguesa,A,7
6,13/07/13,Fluminense,Internacional,A,7
7,13/07/13,Ponte Preta,Bahia,A,7
8,14/07/13,Grêmio,Botafogo,A,7
9,14/07/13,Corinthians,Atlético-MG,A,7
10,14/07/13,Coritiba,Athletico-PR,A,7
11,14/07/13,EC Vitória,São Paulo,A,7
12,14/07/13,Cruzeiro,Nautico,A,7
13,14/07/13,Criciúma,Goiás,A,7
14,14/07/13,Vasco,Flamengo,A,7
