Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,04/06/13,Oeste,Ceará,B,4
2,04/06/13,ABC,Bragantino,B,4
3,04/06/13,Boa Esporte,ASA,B,4
4,04/06/13,Joinville,América-RN,B,4
5,05/06/13,São Paulo,Goiás,A,4
6,05/06/13,Portuguesa,Internacional,A,4
7,05/06/13,Criciúma,Santos,A,4
8,05/06/13,Vasco,Atlético-MG,A,4
9,05/06/13,Grêmio,EC Vitória,A,4
10,05/06/13,Ponte Preta,Athletico-PR,A,4
11,05/06/13,Flamengo,Nautico,A,4
12,05/06/13,Bahia,Botafogo,A,4
13,05/06/13,Cruzeiro,Corinthians,A,4
14,06/06/13,Coritiba,Fluminense,A,4
