Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,24/05/13,Boa Esporte,Chapecoense,B,1
2,25/05/13,EC Vitória,Internacional,A,1
3,25/05/13,Vasco,Portuguesa,A,1
4,25/05/13,Corinthians,Botafogo,A,1
5,25/05/13,ABC,Paraná,B,1
6,25/05/13,Figueirense,América-RN,B,1
7,25/05/13,Palmeiras,Atlético-GO,B,1
8,26/05/13,Grêmio,Nautico,A,1
9,26/05/13,Criciúma,Bahia,A,1
10,26/05/13,Ponte Preta,São Paulo,A,1
11,26/05/13,Santos,Flamengo,A,1
12,26/05/13,Coritiba,Atlético-MG,A,1
13,26/05/13,Cruzeiro,Goiás,A,1
14,26/05/13,Fluminense,Athletico-PR,A,1
