Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,26/06/18,Oeste,Avaí,B,13
2,29/06/18,CSA,Coritiba,B,13
3,30/06/18,Criciúma,São Bento,B,13
4,30/06/18,Figueirense,Ponte Preta,B,13
5,18/07/18,Ceará,Sport,A,13
6,18/07/18,EC Vitória,Paraná,A,13
7,18/07/18,Corinthians,Botafogo,A,13
8,18/07/18,Grêmio,Atlético-MG,A,13
9,18/07/18,Flamengo,São Paulo,A,13
10,19/07/18,Chapecoense,Bahia,A,13
11,19/07/18,Cruzeiro,América-MG,A,13
12,19/07/18,Vasco,Fluminense,A,13
13,19/07/18,Santos,Palmeiras,A,13
14,19/07/18,Athletico-PR,Internacional,A,13
