Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,22/05/18,CSA,Figueirense,B,7
2,25/05/18,Atlético-GO,Oeste,B,7
3,26/05/18,Fluminense,Chapecoense,A,7
4,26/05/18,Palmeiras,Sport,A,7
5,26/05/18,Atlético-MG,Flamengo,A,7
6,26/05/18,Guarani,CRB,B,7
7,26/05/18,São Bento,Juventude,B,7
8,27/05/18,Paraná,Athletico-PR,A,7
9,27/05/18,Internacional,Corinthians,A,7
10,27/05/18,Bahia,Vasco,A,7
11,27/05/18,Santos,Cruzeiro,A,7
12,27/05/18,Botafogo,EC Vitória,A,7
13,27/05/18,Ceará,Grêmio,A,7
14,27/05/18,América-MG,São Paulo,A,7
