Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,31/08/18,Paysandu,Juventude,B,24
2,31/08/18,Ponte Preta,Vila Nova,B,24
3,31/08/18,CRB,Sampaio Corrêa,B,24
4,01/09/18,Boa Esporte,CSA,B,24
5,08/09/18,Sport,Cruzeiro,A,24
6,08/09/18,São Paulo,Bahia,A,24
7,08/09/18,Flamengo,Chapecoense,A,24
8,09/09/18,América-MG,Ceará,A,24
9,09/09/18,Palmeiras,Corinthians,A,24
10,09/09/18,Fluminense,Botafogo,A,24
11,09/09/18,Internacional,Grêmio,A,24
12,09/09/18,Paraná,Santos,A,24
13,09/09/18,EC Vitória,Vasco,A,24
14,10/09/18,Atlético-MG,Athletico-PR,A,24
