Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,02/06/18,Internacional,Sport,A,9
2,02/06/18,Atlético-MG,Chapecoense,A,9
3,02/06/18,Vasco,Botafogo,A,9
4,02/06/18,Palmeiras,São Paulo,A,9
5,03/06/18,Flamengo,Corinthians,A,9
6,03/06/18,Bahia,Grêmio,A,9
7,03/06/18,América-MG,Athletico-PR,A,9
8,03/06/18,Santos,EC Vitória,A,9
9,03/06/18,Ceará,Cruzeiro,A,9
10,04/06/18,Paraná,Fluminense,A,9
11,05/06/18,Ponte Preta,Goiás,B,9
12,05/06/18,CSA,Guarani,B,9
13,05/06/18,Oeste,Brasil-RS,B,9
14,05/06/18,Figueirense,Londrina,B,9
