Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,08/09/18,Ponte Preta,Sampaio Corrêa,B,26
2,08/09/18,Figueirense,CSA,B,26
3,08/09/18,Vila Nova,Coritiba,B,26
4,08/09/18,Londrina,Brasil-RS,B,26
5,22/09/18,São Paulo,América-MG,A,26
6,23/09/18,Grêmio,Ceará,A,26
7,23/09/18,Athletico-PR,Paraná,A,26
8,23/09/18,Flamengo,Atlético-MG,A,26
9,23/09/18,Corinthians,Internacional,A,26
10,23/09/18,Sport,Palmeiras,A,26
11,23/09/18,EC Vitória,Botafogo,A,26
12,23/09/18,Cruzeiro,Santos,A,26
13,24/09/18,Chapecoense,Fluminense,A,26
14,24/09/18,Vasco,Bahia,A,26
