Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,09/11/18,Coritiba,Goiás,B,36
2,10/11/18,Guarani,Paysandu,B,36
3,10/11/18,Avaí,Fortaleza,B,36
4,10/11/18,CSA,Atlético-GO,B,36
5,21/11/18,Internacional,Atlético-MG,A,36
6,21/11/18,Santos,Botafogo,A,36
7,21/11/18,Athletico-PR,Corinthians,A,36
8,21/11/18,Palmeiras,América-MG,A,36
9,21/11/18,Flamengo,Grêmio,A,36
10,21/11/18,Cruzeiro,EC Vitória,A,36
11,22/11/18,Vasco,São Paulo,A,36
12,22/11/18,Ceará,Paraná,A,36
13,22/11/18,Bahia,Fluminense,A,36
14,22/11/18,Chapecoense,Sport,A,36
