Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,02/10/18,Sampaio Corrêa,Figueirense,B,30
2,02/10/18,Criciúma,Oeste,B,30
3,02/10/18,Goiás,Londrina,B,30
4,02/10/18,CSA,Paysandu,B,30
5,20/10/18,América-MG,Grêmio,A,30
6,20/10/18,Botafogo,Bahia,A,30
7,20/10/18,São Paulo,Athletico-PR,A,30
8,20/10/18,Sport,Vasco,A,30
9,21/10/18,EC Vitória,Corinthians,A,30
10,21/10/18,Fluminense,Atlético-MG,A,30
11,21/10/18,Palmeiras,Ceará,A,30
12,21/10/18,Cruzeiro,Chapecoense,A,30
13,21/10/18,Paraná,Flamengo,A,30
14,22/10/18,Internacional,Santos,A,30
