Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,29/05/10,Brasiliense,Figueirense,B,5
2,07/08/10,Paraná,Coritiba,B,12
3,18/09/10,Bragantino,Náutico,B,22
4,25/09/10,Santos,Cruzeiro,A,25
5,25/09/10,São Paulo,Goiás,A,25
6,25/09/10,Guarani,Vasco,A,25
7,25/09/10,Atlético-GO,Gremio Prudente,A,25
8,25/09/10,Flamengo,Palmeiras,A,25
9,26/09/10,Internacional,Corinthians,A,25
10,26/09/10,EC Vitória,Fluminense,A,25
11,26/09/10,Botafogo,Athletico-PR,A,25
12,26/09/10,Avai,Ceará,A,25
13,26/09/10,Atlético-MG,Grêmio,A,25
14,09/11/10,Portuguesa,Brasiliense,B,35
