Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,07/05/10,América-MG,Bragantino,B,1
2,15/05/10,Fluminense,Atlético-GO,A,2
3,15/05/10,Gremio Prudente,Atlético-MG,A,2
4,15/05/10,EC Vitória,Flamengo,A,2
5,16/05/10,Santos,Ceará,A,2
6,16/05/10,São Paulo,Botafogo,A,2
7,16/05/10,Grêmio,Corinthians,A,2
8,16/05/10,Goiás,Internacional,A,2
9,16/05/10,Vasco,Palmeiras,A,2
10,16/05/10,Cruzeiro,Avai,A,2
11,16/05/10,Athletico-PR,Guarani,A,2
12,18/05/10,Paraná,Santo André,B,3
13,27/08/10,Icasa,Ponte Preta,B,17
14,07/09/10,Sport,Brasiliense,B,20
