Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,24/08/10,Coritiba,Duque de Caxias,B,16
2,31/08/10,Ipatinga,Portuguesa,B,18
3,11/09/10,Portuguesa,Figueirense,B,21
4,03/11/10,Santos,EC Vitória,A,33
5,03/11/10,Internacional,Fluminense,A,33
6,03/11/10,Botafogo,Atlético-GO,A,33
7,03/11/10,Guarani,Atlético-MG,A,33
8,03/11/10,Goiás,Grêmio,A,33
9,03/11/10,Cruzeiro,São Paulo,A,33
10,03/11/10,Corinthians,Avai,A,33
11,03/11/10,Ceará,Flamengo,A,33
12,04/11/10,Vasco,Gremio Prudente,A,33
13,04/11/10,Athletico-PR,Palmeiras,A,33
14,05/11/10,América-MG,Americana,B,34
