Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,29/05/10,Bahia,Sport,B,5
2,10/08/10,Coritiba,São Caetano,B,13
3,07/09/10,Bragantino,América-MG,B,20
4,22/09/10,São Paulo,Guarani,A,24
5,22/09/10,Gremio Prudente,Palmeiras,A,24
6,22/09/10,Cruzeiro,Ceará,A,24
7,22/09/10,Goiás,Atlético-GO,A,24
8,22/09/10,Vasco,Botafogo,A,24
9,22/09/10,Athletico-PR,Internacional,A,24
10,22/09/10,Grêmio,Flamengo,A,24
11,22/09/10,Santos,Corinthians,A,24
12,23/09/10,Fluminense,Atlético-MG,A,24
13,23/09/10,EC Vitória,Avai,A,24
14,24/09/10,Bragantino,Portuguesa,B,24
