Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,07/05/10,ASA,Ponte Preta,B,1
2,22/05/10,Icasa,América-RN,B,3
3,14/07/10,Grêmio,EC Vitória,A,8
4,14/07/10,Athletico-PR,Cruzeiro,A,8
5,14/07/10,São Paulo,Avai,A,8
6,14/07/10,Flamengo,Botafogo,A,8
7,14/07/10,Ceará,Corinthians,A,8
8,14/07/10,Goiás,Vasco,A,8
9,14/07/10,Guarani,Internacional,A,8
10,15/07/10,Palmeiras,Santos,A,8
11,15/07/10,Atlético-MG,Atlético-GO,A,8
12,15/07/10,Fluminense,Gremio Prudente,A,8
13,10/08/10,Ipatinga,América-RN,B,13
14,29/10/10,Brasiliense,Icasa,B,32
