Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,25/05/10,Ipatinga,ASA,B,4
2,25/05/10,América-RN,América-MG,B,4
3,21/09/10,Icasa,Sport,B,23
4,23/10/10,Portuguesa,América-RN,B,31
5,28/11/10,Palmeiras,Fluminense,A,37
6,28/11/10,Corinthians,Vasco,A,37
7,28/11/10,Flamengo,Cruzeiro,A,37
8,28/11/10,Botafogo,Gremio Prudente,A,37
9,28/11/10,Ceará,Athletico-PR,A,37
10,28/11/10,Guarani,Grêmio,A,37
11,28/11/10,Atlético-MG,Goiás,A,37
12,28/11/10,Internacional,EC Vitória,A,37
13,28/11/10,Atlético-GO,São Paulo,A,37
14,28/11/10,Avai,Santos,A,37
