Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,01/06/10,Vila Nova,Santo André,B,6
2,13/07/10,São Caetano,Santo André,B,8
3,23/07/10,América-RN,Bragantino,B,10
4,07/08/10,Botafogo,Atlético-MG,A,13
5,07/08/10,Guarani,Avai,A,13
6,08/08/10,Corinthians,Flamengo,A,13
7,08/08/10,Goiás,Palmeiras,A,13
8,08/08/10,Ceará,Atlético-GO,A,13
9,08/08/10,Vasco,EC Vitória,A,13
10,08/08/10,Cruzeiro,Gremio Prudente,A,13
11,08/08/10,Grêmio,Fluminense,A,13
12,08/08/10,Athletico-PR,São Paulo,A,13
13,03/09/10,São Caetano,Vila Nova,B,19
14,13/10/10,Santos,Internacional,A,13
