Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,01/06/10,Ipatinga,Americana,B,6
2,02/06/10,Athletico-PR,Botafogo,A,6
3,02/06/10,Fluminense,EC Vitória,A,6
4,02/06/10,Gremio Prudente,Atlético-GO,A,6
5,02/06/10,Ceará,Avai,A,6
6,02/06/10,Cruzeiro,Santos,A,6
7,02/06/10,Palmeiras,Flamengo,A,6
8,02/06/10,Goiás,São Paulo,A,6
9,03/06/10,Grêmio,Atlético-MG,A,6
10,03/06/10,Vasco,Guarani,A,6
11,03/06/10,Corinthians,Internacional,A,6
12,07/09/10,Ponte Preta,ASA,B,20
13,09/11/10,Duque de Caxias,Coritiba,B,35
14,27/11/10,Coritiba,Americana,B,38
