Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,30/04/19,América-MG,Botafogo-SP,B,2
2,01/05/19,Internacional,Flamengo,A,2
3,01/05/19,CSA,Palmeiras,A,2
4,01/05/19,Corinthians,Chapecoense,A,2
5,01/05/19,Cruzeiro,Ceará,A,2
6,01/05/19,Avai,Grêmio,A,2
7,01/05/19,Goiás,São Paulo,A,2
8,01/05/19,Vasco,Atlético-MG,A,2
9,01/05/19,Fortaleza,Athletico-PR,A,2
10,01/05/19,Oeste,Guarani,B,2
11,02/05/19,Santos,Fluminense,A,2
12,02/05/19,Botafogo,Bahia,A,2
13,03/05/19,Atlético-GO,Coritiba,B,2
14,04/05/19,Figueirense,São Bento,B,2
