Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,25/05/19,Botafogo,Palmeiras,A,6
2,25/05/19,Grêmio,Atlético-MG,A,6
3,26/05/19,Flamengo,Athletico-PR,A,6
4,26/05/19,Santos,Internacional,A,6
5,26/05/19,Fortaleza,Vasco,A,6
6,26/05/19,Cruzeiro,Chapecoense,A,6
7,26/05/19,Bahia,Fluminense,A,6
8,26/05/19,Corinthians,São Paulo,A,6
9,27/05/19,CSA,Goiás,A,6
10,27/05/19,Avai,Ceará,A,6
11,28/05/19,Guarani,Brasil-RS,B,6
12,28/05/19,Operário-PR,Sport,B,6
13,01/06/19,Cuiabá,Ponte Preta,B,6
14,01/06/19,Botafogo-SP,Criciúma,B,6
