Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,07/06/19,Vasco,Internacional,A,8
2,08/06/19,Palmeiras,Athletico-PR,A,8
3,08/06/19,Grêmio,Fortaleza,A,8
4,08/06/19,Cruzeiro,Corinthians,A,8
5,08/06/19,Ceará,Bahia,A,8
6,08/06/19,Avai,São Paulo,A,8
7,09/06/19,CSA,Botafogo,A,8
8,09/06/19,Fluminense,Flamengo,A,8
9,09/06/19,Santos,Atlético-MG,A,8
10,10/06/19,Goiás,Chapecoense,A,8
11,10/06/19,Londrina,Ponte Preta,B,8
12,11/06/19,Sport,CRB,B,8
13,11/06/19,Oeste,Vitória,B,8
14,11/06/19,Guarani,Coritiba,B,8
