Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,05/11/19,Bragantino,Guarani,B,33
2,05/11/19,Vitória,Brasil-RS,B,33
3,05/11/19,América-MG,Paraná,B,33
4,05/11/19,Ponte Preta,São Bento,B,33
5,16/11/19,Santos,São Paulo,A,33
6,16/11/19,Fluminense,Atlético-MG,A,33
7,17/11/19,Grêmio,Flamengo,A,33
8,17/11/19,Bahia,Palmeiras,A,33
9,17/11/19,Chapecoense,Ceará,A,33
10,17/11/19,Athletico-PR,Botafogo,A,33
11,17/11/19,Corinthians,Internacional,A,33
12,17/11/19,Fortaleza,CSA,A,33
13,18/11/19,Vasco,Goiás,A,33
14,18/11/19,Cruzeiro,Avai,A,33
