Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,29/10/19,Vila Nova,Brasil-RS,B,32
2,31/10/19,Guarani,Sport,B,32
3,01/11/19,Cuiabá,Bragantino,B,32
4,02/11/19,Criciúma,São Bento,B,32
5,09/11/19,Goiás,Santos,A,32
6,09/11/19,Palmeiras,Corinthians,A,32
7,10/11/19,Internacional,Fluminense,A,32
8,10/11/19,Cruzeiro,Atlético-MG,A,32
9,10/11/19,São Paulo,Athletico-PR,A,32
10,10/11/19,Flamengo,Bahia,A,32
11,10/11/19,Chapecoense,Grêmio,A,32
12,10/11/19,Fortaleza,Ceará,A,32
13,10/11/19,CSA,Vasco,A,32
14,11/11/19,Botafogo,Avai,A,32
