Rodada,Data,Time da Casa,Placar,Time Visitante
1,12/04/25,Ituano,0-0,Brusque
1,12/04/25,Figueirense,1-1,Ponte Preta
1,12/04/25,CSA,1-1,Anápolis
1,12/04/25,Botafogo-PB,3-0,Confiança
1,13/04/25,Retrô FC,0-0,Tombense
1,13/04/25,Itabaiana,2-1,Náutico
1,13/04/25,Guarani,2-3,Maringá
1,13/04/25,São Bernardo,1-1,ABC
1,13/04/25,Caxias,1-0,Floresta-CE
1,14/04/25,Londrina,3-1,Ypiranga-RS
2,19/04/25,Náutico,0-0,Botafogo-PB
2,19/04/25,Ponte Preta,1-0,Retrô FC
2,19/04/25,Anápolis,0-1,Ituano
2,19/04/25,Ypiranga-RS,3-2,Itabaiana
2,20/04/25,Confiança,2-1,Caxias
2,20/04/25,Floresta-CE,0-2,Londrina
2,20/04/25,Maringá,1-0,São Bernardo
2,20/04/25,Brusque,1-0,Guarani
2,21/04/25,Tombense,3-2,Figueirense
2,21/04/25,ABC,1-1,CSA
3,26/04/25,Confiança,1-2,Ponte Preta
3,26/04/25,Londrina,1-1,Maringá
3,26/04/25,Retrô FC,2-1,Figueirense
3,26/04/25,CSA,2-1,Náutico
3,27/04/25,Itabaiana,0-1,São Bernardo
3,27/04/25,Ituano,3-1,Tombense
3,27/04/25,Brusque,1-0,Ypiranga-RS
3,27/04/25,Botafogo-PB,0-0,ABC
3,28/04/25,Anápolis,0-0,Floresta-CE
3,28/04/25,Caxias,2-0,Guarani
4,03/05/25,Maringá,3-2,Confiança
4,03/05/25,ABC,2-3,Ituano
4,03/05/25,Ponte Preta,2-0,Anápolis
4,03/05/25,Tombense,2-0,Itabaiana
4,04/05/25,Ypiranga-RS,1-0,CSA
4,04/05/25,Floresta-CE,1-0,Retrô FC
4,04/05/25,Náutico,0-0,Brusque
4,04/05/25,Guarani,2-1,Botafogo-PB
4,05/05/25,São Bernardo,0-0,Londrina
4,05/05/25,Figueirense,2-3,Caxias
5,10/05/25,Náutico,2-0,Confiança
5,10/05/25,Guarani,0-1,São Bernardo
5,10/05/25,Anápolis,0-0,Ypiranga-RS
5,10/05/25,Brusque,0-1,ABC
5,11/05/25,Caxias,2-1,Retrô FC
5,11/05/25,Botafogo-PB,2-3,Floresta-CE
5,11/05/25,Londrina,1-1,Tombense
5,11/05/25,CSA,3-2,Maringá
5,12/05/25,Itabaiana,1-1,Figueirense
5,12/05/25,Ituano,0-1,Ponte Preta
6,17/05/25,Tombense,0-0,CSA
6,17/05/25,Floresta-CE,0-0,Guarani
6,17/05/25,Ponte Preta,1-4,Brusque
6,17/05/25,Ypiranga-RS,0-4,Náutico
6,18/05/25,São Bernardo,1-0,Caxias
6,18/05/25,Maringá,1-1,Botafogo-PB
6,18/05/25,Retrô FC,1-0,Itabaiana
6,18/05/25,Figueirense,2-0,Ituano
6,19/05/25,Confiança,0-2,Londrina
6,19/05/25,ABC,3-3,Anápolis
7,24/05/25,Náutico,0-1,Ponte Preta
7,24/05/25,CSA,0-0,Confiança
7,24/05/25,Itabaiana,2-1,Caxias
7,24/05/25,Londrina,1-1,ABC
7,25/05/25,Botafogo-PB,1-0,Retrô FC
7,25/05/25,Ituano,0-0,Floresta-CE
7,25/05/25,Ypiranga-RS,1-0,Tombense
7,25/05/25,Anápolis,1-1,Maringá
7,26/05/25,Guarani,0-0,Figueirense
7,26/05/25,Brusque,1-0,São Bernardo
8,31/05/25,Retrô FC,0-2,Guarani
8,31/05/25,ABC,0-0,Náutico
8,31/05/25,Caxias,4-2,Londrina
8,31/05/25,Floresta-CE,1-0,Itabaiana
8,01/06/25,Confiança,4-1,Brusque
8,01/06/25,Tombense,1-1,Anápolis
8,01/06/25,Maringá,1-1,Ituano
8,01/06/25,Figueirense,1-0,Botafogo-PB
8,02/06/25,Ponte Preta,0-1,Ypiranga-RS
8,02/06/25,São Bernardo,1-3,CSA
9,14/06/25,Ponte Preta,0-0,ABC
9,14/06/25,Ituano,1-1,São Bernardo
