Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,26/07/11,Goiás,Sport,B,13
2,26/07/11,ABC,São Caetano,B,13
3,26/07/11,Salgueiro,ASA,B,13
4,26/07/11,Portuguesa,Guaratinguetá,B,13
5,30/07/11,Flamengo,Grêmio,A,13
6,30/07/11,Cruzeiro,Botafogo,A,13
7,30/07/11,Palmeiras,Atlético-MG,A,13
8,31/07/11,São Paulo,Vasco,A,13
9,31/07/11,Fluminense,Ceará,A,13
10,31/07/11,Internacional,Atlético-GO,A,13
11,31/07/11,Avai,Corinthians,A,13
12,31/07/11,Athletico-PR,Santos,A,13
13,31/07/11,América-MG,Coritiba,A,13
14,31/07/11,Bahia,Figueirense,A,13
