Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,11/10/11,Portuguesa,Boa,B,30
2,11/10/11,Guaratinguetá,Náutico,B,30
3,14/10/11,Duque de Caxias,ABC,B,30
4,14/10/11,Criciúma,Salgueiro,B,30
5,15/10/11,Ceará,Flamengo,A,30
6,15/10/11,Figueirense,América-MG,A,30
7,16/10/11,Botafogo,Athletico-PR,A,30
8,16/10/11,Santos,Grêmio,A,30
9,16/10/11,Cruzeiro,Corinthians,A,30
10,16/10/11,Internacional,Avai,A,30
11,16/10/11,Palmeiras,Fluminense,A,30
12,16/10/11,Atlético-GO,São Paulo,A,30
13,16/10/11,Coritiba,Bahia,A,30
14,16/10/11,Vasco,Atlético-MG,A,30
