Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,02/08/11,Bragantino,Duque de Caxias,B,15
2,02/08/11,Guarani,São Caetano,B,15
3,05/08/11,Náutico,ASA,B,15
4,06/08/11,Flamengo,Coritiba,A,15
5,06/08/11,Palmeiras,Grêmio,A,15
6,06/08/11,Atlético-MG,Figueirense,A,15
7,06/08/11,Goiás,Vila Nova,B,15
8,07/08/11,Internacional,Cruzeiro,A,15
9,07/08/11,Santos,Ceará,A,15
10,07/08/11,Athletico-PR,Corinthians,A,15
11,07/08/11,América-MG,Fluminense,A,15
12,07/08/11,Bahia,Atlético-GO,A,15
13,07/08/11,Avai,São Paulo,A,15
14,07/08/11,Botafogo,Vasco,A,15
