Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,01/07/11,Vila Nova,Icasa,B,9
2,02/07/11,Náutico,Guarani,B,9
3,02/07/11,Grêmio Barueri,EC Vitória,B,9
4,02/07/11,Paraná,Duque de Caxias,B,9
5,09/07/11,Vasco,Internacional,A,9
6,09/07/11,São Paulo,Cruzeiro,A,9
7,09/07/11,Athletico-PR,Avai,A,9
8,10/07/11,Fluminense,Flamengo,A,9
9,10/07/11,Grêmio,Coritiba,A,9
10,10/07/11,Bahia,Botafogo,A,9
11,10/07/11,Atlético-GO,Corinthians,A,9
12,10/07/11,Figueirense,Ceará,A,9
13,10/07/11,Palmeiras,Santos,A,9
14,10/07/11,Atlético-MG,América-MG,A,9
