Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,28/10/11,Goiás,Duque de Caxias,B,33
2,29/10/11,ABC,ASA,B,33
3,29/10/11,Paraná,São Caetano,B,33
4,29/10/11,Bragantino,Icasa,B,33
5,05/11/11,Bahia,São Paulo,A,33
6,05/11/11,Botafogo,Figueirense,A,33
7,05/11/11,Atlético-MG,Grêmio,A,33
8,06/11/11,Santos,Vasco,A,33
9,06/11/11,América-MG,Corinthians,A,33
10,06/11/11,Flamengo,Cruzeiro,A,33
11,06/11/11,Avai,Ceará,A,33
12,06/11/11,Athletico-PR,Atlético-GO,A,33
13,06/11/11,Internacional,Fluminense,A,33
14,06/11/11,Palmeiras,Coritiba,A,33
