Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,15/07/11,Boa,Portuguesa,B,11
2,16/07/11,Bragantino,Sport,B,11
3,16/07/11,Ponte Preta,Guarani,B,11
4,16/07/11,Salgueiro,Criciúma,B,11
5,21/07/11,Avai,Internacional,A,11
6,23/07/11,São Paulo,Atlético-GO,A,11
7,23/07/11,Athletico-PR,Botafogo,A,11
8,23/07/11,América-MG,Figueirense,A,11
9,23/07/11,Flamengo,Ceará,A,11
10,24/07/11,Corinthians,Cruzeiro,A,11
11,24/07/11,Bahia,Coritiba,A,11
12,24/07/11,Fluminense,Palmeiras,A,11
13,24/07/11,Atlético-MG,Vasco,A,11
14,05/10/11,Grêmio,Santos,A,11
