Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,01/11/11,São Caetano,Guarani,B,34
2,04/11/11,Sport,Boa,B,34
3,05/11/11,Icasa,ABC,B,34
4,05/11/11,Grêmio Barueri,Paraná,B,34
5,12/11/11,Fluminense,América-MG,A,34
6,12/11/11,Figueirense,Atlético-MG,A,34
7,12/11/11,São Paulo,Avai,A,34
8,13/11/11,Coritiba,Flamengo,A,34
9,13/11/11,Ceará,Santos,A,34
10,13/11/11,Grêmio,Palmeiras,A,34
11,13/11/11,Corinthians,Athletico-PR,A,34
12,13/11/11,Vasco,Botafogo,A,34
13,13/11/11,Atlético-GO,Bahia,A,34
14,13/11/11,Cruzeiro,Internacional,A,34
