Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,12/11/11,EC Vitória,Criciúma,B,36
2,12/11/11,Bragantino,Goiás,B,36
3,12/11/11,ASA,Duque de Caxias,B,36
4,12/11/11,São Caetano,Náutico,B,36
5,19/11/11,São Paulo,América-MG,A,36
6,19/11/11,Vasco,Avai,A,36
7,19/11/11,Grêmio,Ceará,A,36
8,20/11/11,Atlético-GO,Flamengo,A,36
9,20/11/11,Corinthians,Atlético-MG,A,36
10,20/11/11,Botafogo,Internacional,A,36
11,20/11/11,Cruzeiro,Athletico-PR,A,36
12,20/11/11,Figueirense,Fluminense,A,36
13,20/11/11,Coritiba,Santos,A,36
14,20/11/11,Bahia,Palmeiras,A,36
