Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,24/05/11,ASA,Guaratinguetá,B,2
2,24/05/11,Paraná,Portuguesa,B,2
3,27/05/11,Grêmio Barueri,Bragantino,B,2
4,28/05/11,Internacional,Ceará,A,2
5,28/05/11,Botafogo,Santos,A,2
6,28/05/11,Avai,Atlético-MG,A,2
7,28/05/11,São Paulo,Figueirense,A,2
8,28/05/11,Duque de Caxias,Criciúma,B,2
9,29/05/11,Corinthians,Coritiba,A,2
10,29/05/11,Bahia,Flamengo,A,2
11,29/05/11,Athletico-PR,Grêmio,A,2
12,29/05/11,Cruzeiro,Palmeiras,A,2
13,29/05/11,Vasco,América-MG,A,2
14,29/05/11,Atlético-GO,Fluminense,A,2
