Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,08/11/11,ABC,Paraná,B,35
2,08/11/11,Salgueiro,Bragantino,B,35
3,08/11/11,Guarani,Icasa,B,35
4,08/11/11,Duque de Caxias,Vila Nova,B,35
5,16/11/11,América-MG,Botafogo,A,35
6,16/11/11,Internacional,Bahia,A,35
7,16/11/11,Fluminense,Grêmio,A,35
8,16/11/11,Athletico-PR,São Paulo,A,35
9,16/11/11,Palmeiras,Vasco,A,35
10,16/11/11,Avai,Cruzeiro,A,35
11,16/11/11,Ceará,Corinthians,A,35
12,17/11/11,Atlético-MG,Coritiba,A,35
13,17/11/11,Flamengo,Figueirense,A,35
14,17/11/11,Santos,Atlético-GO,A,35
