Fase,Rodada,Data,Time da Casa,Placar,Time Visitante
O,1,31/08/16,Internacional,3-0,Fortaleza
O,1,01/09/16,Botafogo,2-5,Cruzeiro
O,2,21/09/16,Ponte Preta,2-2,Atlético-MG
O,2,21/09/16,Vasco da Gama,2-2,Santos
O,2,21/09/16,Corinthians,1-0,Fluminense
O,2,21/09/16,Cruzeiro,1-0,Botafogo
O,2,22/09/16,Fortaleza,1-0,Internacional
O,2,22/09/16,Grêmio,0-1,Athletico-PR
O,2,22/09/16,Botafogo-PB,1-0,Palmeiras
O,2,23/09/16,Juventude,0-1,São Paulo
Q,1,28/09/16,Santos,2-1,Internacional
Q,1,28/09/16,Atlético-MG,1-0,Juventude
Q,1,28/09/16,Grêmio,2-1,Palmeiras
Q,1,28/09/16,Corinthians,2-1,Cruzeiro
Q,2,19/10/16,Juventude,1-1,Atlético-MG
Q,2,19/10/16,Internacional,2-0,Santos
Q,2,19/10/16,Palmeiras,1-1,Grêmio
Q,2,19/10/16,Cruzeiro,4-2,Corinthians
S,1,26/10/16,Cruzeiro,0-2,Grêmio
S,1,26/10/16,Internacional,1-2,Atlético-MG
S,2,02/11/16,Grêmio,0-0,Cruzeiro
S,2,02/11/16,Atlético-MG,2-2,Internacional
F,1,23/11/16,Atlético-MG,1-3,Grêmio
F,2,07/12/16,Grêmio,1-1,Atlético-MG
