Rodada,Data,Time da Casa,Placar,Time Visitante
1F,13/01/02,Esportivo,4-2,Veranópolis
1F,13/01/02,Passo Fundo,2-0,Palmeirense
1F,13/01/02,São José-RS,1-3,São Gabriel
1F,14/01/02,15 de Novembro,4-0,São Paulo-RS
1F,14/01/02,Guarani V. Aires,0-0,São Luiz
1F,20/01/02,São Luiz,4-1,Esportivo
1F,20/01/02,Veranópolis,3-0,Passo Fundo
1F,20/01/02,Palmeirense,2-1,São José-RS
1F,20/01/02,São Gabriel,1-2,15 de Novembro
1F,21/01/02,São Paulo-RS,2-1,Santo Ângelo
1F,24/01/02,Santo Ângelo,2-1,São Gabriel
1F,24/01/02,Esportivo,0-0,Guarani V. Aires
1F,24/01/02,Passo Fundo,0-0,São Luiz
1F,24/01/02,São José-RS,2-0,Veranópolis
1F,24/01/02,15 de Novembro,2-1,Palmeirense
1F,24/01/02,Santa Cruz-RS,1-0,São Paulo-RS
1F,27/01/02,Passo Fundo,1-2,Esportivo
1F,27/01/02,Caxias,1-2,São Gabriel
1F,27/01/02,São José-RS,5-1,Guarani V. Aires
1F,28/01/02,Santa Cruz-RS,4-1,Palmeirense
1F,28/01/02,15 de Novembro,3-0,São Luiz
1F,30/01/02,São Paulo-RS,0-2,Caxias
1F,31/01/02,Guarani V. Aires,1-2,Passo Fundo
1F,31/01/02,São Gabriel,2-1,Santa Cruz-RS
1F,31/01/02,São Luiz,1-2,São José-RS
1F,31/01/02,Palmeirense,0-2,Santo Ângelo
1F,31/01/02,Veranópolis,0-1,15 de Novembro
1F,02/02/02,São Gabriel,3-1,São Paulo-RS
1F,02/02/02,Palmeirense,0-2,Caxias
1F,02/02/02,Veranópolis,1-3,Santa Cruz-RS
1F,02/02/02,São Luiz,2-1,Santo Ângelo
1F,04/02/02,Esportivo,3-0,São José-RS
1F,04/02/02,Guarani V. Aires,1-1,15 de Novembro
1F,07/02/02,15 de Novembro,3-0,Esportivo
1F,07/02/02,Santa Cruz-RS,1-2,São Luiz
1F,07/02/02,São José-RS,1-2,Passo Fundo
1F,08/02/02,Caxias,1-2,Veranópolis
1F,08/02/02,São Paulo-RS,3-1,Palmeirense
1F,09/02/02,Santo Ângelo,4-0,Guarani V. Aires
1F,14/02/02,Caxias,2-0,Santo Ângelo
1F,17/02/02,Palmeirense,3-2,São Gabriel
1F,17/02/02,Passo Fundo,3-1,15 de Novembro
1F,17/02/02,Veranópolis,1-0,São Paulo-RS
1F,17/02/02,Esportivo,2-0,Santo Ângelo
1F,17/02/02,São Luiz,2-0,Caxias
1F,18/02/02,Guarani V. Aires,0-0,Santa Cruz-RS
1F,21/02/02,São Paulo-RS,1-1,São Luiz
1F,21/02/02,Santo Ângelo,2-0,Passo Fundo
1F,21/02/02,São Gabriel,1-0,Veranópolis
1F,21/02/02,15 de Novembro,1-0,São José-RS
1F,21/02/02,Santa Cruz-RS,1-0,Esportivo
1F,21/02/02,Caxias,3-1,Guarani V. Aires
1F,24/02/02,São Luiz,2-1,São Gabriel
1F,24/02/02,Veranópolis,1-1,Palmeirense
1F,24/02/02,Passo Fundo,0-2,Santa Cruz-RS
1F,24/02/02,Guarani V. Aires,2-2,São Paulo-RS
1F,24/02/02,Esportivo,1-0,Caxias
1F,25/02/02,São José-RS,0-0,Santo Ângelo
1F,28/02/02,Palmeirense,0-2,São Luiz
1F,28/02/02,Santo Ângelo,3-1,15 de Novembro
1F,28/02/02,Santa Cruz-RS,2-2,São José-RS
1F,28/02/02,São Gabriel,1-0,Guarani V. Aires
1F,28/02/02,Caxias,1-1,Passo Fundo
1F,28/02/02,São Paulo-RS,2-3,Esportivo
1F,03/03/02,Esportivo,0-1,São Gabriel
1F,03/03/02,São Luiz,0-0,Veranópolis
1F,03/03/02,Passo Fundo,1-0,São Paulo-RS
1F,04/03/02,15 de Novembro,4-4,Santa Cruz-RS
1F,04/03/02,Guarani V. Aires,1-2,Palmeirense
1F,04/03/02,São José-RS,4-1,Caxias
1F,07/03/02,Caxias,1-0,Santa Cruz-RS
1F,07/03/02,Veranópolis,3-1,Santo Ângelo
1F,10/03/02,Veranópolis,2-2,Guarani V. Aires
1F,10/03/02,Caxias,3-3,15 de Novembro
1F,10/03/02,Palmeirense,1-2,Esportivo
1F,10/03/02,São Paulo-RS,1-0,São José-RS
1F,10/03/02,São Gabriel,5-1,Passo Fundo
1F,11/03/02,Santa Cruz-RS,4-1,Santo Ângelo
1F,17/03/02,São Luiz,3-3,Guarani V. Aires
1F,17/03/02,Veranópolis,0-3,Esportivo
1F,17/03/02,Palmeirense,0-3,Passo Fundo
1F,17/03/02,São Gabriel,1-0,São José-RS
1F,17/03/02,Santo Ângelo,2-1,Caxias
1F,18/03/02,São Paulo-RS,1-3,15 de Novembro
1F,21/03/02,Esportivo,2-0,São Luiz
1F,21/03/02,Passo Fundo,1-1,Veranópolis
1F,21/03/02,São José-RS,1-0,Palmeirense
1F,21/03/02,15 de Novembro,1-1,São Gabriel
1F,21/03/02,Santo Ângelo,4-0,São Paulo-RS
1F,21/03/02,Santa Cruz-RS,0-0,Caxias
1F,24/03/02,Palmeirense,0-2,15 de Novembro
1F,24/03/02,São Gabriel,2-0,Santo Ângelo
1F,24/03/02,Guarani V. Aires,2-0,Esportivo
1F,24/03/02,São Luiz,1-0,Passo Fundo
1F,24/03/02,São Paulo-RS,1-2,Santa Cruz-RS
1F,24/03/02,Veranópolis,2-1,São José-RS
1F,28/03/02,Caxias,1-0,São Paulo-RS
1F,28/03/02,Passo Fundo,1-2,Guarani V. Aires
1F,28/03/02,Santa Cruz-RS,0-2,São Gabriel
1F,28/03/02,São José-RS,0-0,São Luiz
1F,28/03/02,Santo Ângelo,2-0,Palmeirense
1F,28/03/02,15 de Novembro,2-2,Veranópolis
1F,31/03/02,Esportivo,4-1,Passo Fundo
1F,31/03/02,São Gabriel,1-1,Caxias
1F,31/03/02,Guarani V. Aires,4-1,São José-RS
