Rodada,Data,Time da Casa,Placar,Time Visitante
A,10/01/26,Juventude,1-1,Ypiranga-RS
A,10/01/26,Guarany de Bagé,1-1,Monsoon
A,10/01/26,Avenida,0-4,Grêmio
A,11/01/26,São Luiz,1-1,Caxias
A,11/01/26,Internacional,2-1,Novo Hamburgo
A,11/01/26,São José-RS,0-0,Inter SM
A,14/01/26,Inter SM,0-0,São Luiz
A,14/01/26,Novo Hamburgo,1-1,Juventude
A,14/01/26,Grêmio,0-1,São José-RS
A,14/01/26,Caxias,3-0,Avenida
A,15/01/26,Ypiranga-RS,1-1,Guarany de Bagé
A,15/01/26,Monsoon,0-4,Internacional
A,17/01/26,Novo Hamburgo,0-0,São José-RS
A,17/01/26,Inter SM,0-1,Juventude
A,17/01/26,Grêmio,5-0,São Luiz
A,18/01/26,Caxias,4-1,Guarany de Bagé
A,18/01/26,Ypiranga-RS,2-1,Internacional
A,18/01/26,Monsoon,0-0,Avenida
A,21/01/26,Internacional,2-0,Inter SM
A,21/01/26,São Luiz,1-0,Novo Hamburgo
A,21/01/26,Guarany de Bagé,0-2,Grêmio
A,21/01/26,Avenida,3-0,Ypiranga-RS
A,22/01/26,Juventude,1-0,Caxias
A,22/01/26,São José-RS,1-2,Monsoon
A,24/01/26,São Luiz,2-2,Ypiranga-RS
A,24/01/26,Avenida,1-1,Novo Hamburgo
A,24/01/26,Guarany de Bagé,1-0,Inter SM
A,25/01/26,Juventude,3-0,Monsoon
A,25/01/26,Internacional,4-2,Grêmio
A,26/01/26,São José-RS,1-0,Caxias
A,31/01/26,Ypiranga-RS,1-1,São José-RS
A,31/01/26,Monsoon,2-2,São Luiz
A,31/01/26,Grêmio,1-1,Juventude
A,31/01/26,Caxias,0-1,Internacional
A,31/01/26,Inter SM,1-0,Avenida
A,31/01/26,Novo Hamburgo,2-0,Guarany de Bagé
,05/02/26,Inter SM,1-1,Avenida
,06/02/26,Guarany de Bagé,0-0,Monsoon
QF,06/02/26,Caxias,0-2,Ypiranga-RS
QF,07/02/26,Grêmio,1-0,Novo Hamburgo
QF,08/02/26,Internacional,3-1,São Luiz
,09/02/26,Monsoon,1-1,Inter SM
QF,09/02/26,Juventude,3-2,São José-RS
,09/02/26,Avenida,2-1,Guarany de Bagé
,14/02/26,Avenida,1-1,Monsoon
SF,14/02/26,Novo Hamburgo,3-2,São José-RS
SF,15/02/26,Grêmio,1-1,Juventude
SF,15/02/26,Ypiranga-RS,0-3,Internacional
,16/02/26,Guarany de Bagé,3-2,Inter SM
SF,16/02/26,São Luiz,1-2,Caxias
SF,21/02/26,Caxias,0-1(2-3 Pen.),São Luiz
SF,21/02/26,Internacional,4-0,Ypiranga-RS
,21/02/26,Inter SM,0-1,Guarany de Bagé
SF,22/02/26,Juventude,1-1(1-4 Pen.),Grêmio
SF,22/02/26,São José-RS,1-2,Novo Hamburgo
,23/02/26,Monsoon,1-1,Avenida
,28/02/26,Inter SM,1-1,Monsoon
,28/02/26,Guarany de Bagé,1-1,Avenida
F,01/03/26,Grêmio,3-0,Internacional
F,02/03/26,São Luiz,1-0,Novo Hamburgo
F,06/03/26,Novo Hamburgo,1-1,São Luiz
,07/03/26,Avenida,0-0,Inter SM
,07/03/26,Monsoon,2-0,Guarany de Bagé
F,08/03/26,Internacional,1-1,Grêmio
