Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,21/07/17,Santa Cruz,Boa Esporte,B,16
2,21/07/17,América-MG,Figueirense,B,16
3,22/07/17,EC Vitória,Chapecoense,A,16
4,22/07/17,Flamengo,Coritiba,A,16
5,22/07/17,Vila Nova,Internacional,B,16
6,22/07/17,Oeste,Juventude,B,16
7,23/07/17,Santos,Bahia,A,16
8,23/07/17,Avai,Cruzeiro,A,16
9,23/07/17,Sport,Palmeiras,A,16
10,23/07/17,Fluminense,Corinthians,A,16
11,23/07/17,Athletico-PR,Ponte Preta,A,16
12,23/07/17,Atlético-GO,Botafogo,A,16
13,23/07/17,Atlético-MG,Vasco,A,16
14,24/07/17,São Paulo,Grêmio,A,16
