Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,30/05/17,Brasil-RS,Náutico,B,4
2,02/06/17,América-MG,Paysandu,B,4
3,03/06/17,Coritiba,Athletico-PR,A,4
4,03/06/17,Fluminense,EC Vitória,A,4
5,03/06/17,Corinthians,Santos,A,4
6,03/06/17,Vila Nova,Guarani,B,4
7,03/06/17,Santa Cruz,ABC,B,4
8,04/06/17,Flamengo,Botafogo,A,4
9,04/06/17,Avai,Sport,A,4
10,04/06/17,Palmeiras,Atlético-MG,A,4
11,04/06/17,Ponte Preta,São Paulo,A,4
12,04/06/17,Grêmio,Vasco,A,4
13,04/06/17,Cruzeiro,Chapecoense,A,4
14,05/06/17,Bahia,Atlético-GO,A,4
