Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,06/06/17,Fluminense,Athletico-PR,A,5
2,06/06/17,CRB,Brasil-RS,B,5
3,06/06/17,Figueirense,Internacional,B,5
4,06/06/17,ABC,Paysandu,B,5
5,06/06/17,Náutico,Oeste,B,5
6,07/06/17,Atlético-MG,Avai,A,5
7,07/06/17,Coritiba,Palmeiras,A,5
8,07/06/17,Santos,Botafogo,A,5
9,07/06/17,Vasco,Corinthians,A,5
10,07/06/17,Sport,Flamengo,A,5
11,08/06/17,Atlético-GO,Ponte Preta,A,5
12,08/06/17,São Paulo,EC Vitória,A,5
13,08/06/17,Chapecoense,Grêmio,A,5
14,08/06/17,Bahia,Cruzeiro,A,5
