Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,14/07/17,Brasil-RS,Figueirense,B,14
2,15/07/17,Corinthians,Athletico-PR,A,14
3,15/07/17,Vila Nova,Paysandu,B,14
4,15/07/17,Luverdense,ABC,B,14
5,15/07/17,CRB,Internacional,B,14
6,16/07/17,Palmeiras,EC Vitória,A,14
7,16/07/17,Vasco,Santos,A,14
8,16/07/17,Atlético-GO,Atlético-MG,A,14
9,16/07/17,Chapecoense,São Paulo,A,14
10,16/07/17,Cruzeiro,Flamengo,A,14
11,16/07/17,Grêmio,Ponte Preta,A,14
12,16/07/17,Bahia,Avai,A,14
13,16/07/17,Coritiba,Fluminense,A,14
14,17/07/17,Botafogo,Sport,A,14
