Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,23/05/17,Guarani,Figueirense,B,3
2,26/05/17,Goiás,Brasil-RS,B,3
3,26/05/17,Criciúma,América-MG,B,3
4,27/05/17,Vasco,Fluminense,A,3
5,27/05/17,São Paulo,Palmeiras,A,3
6,27/05/17,EC Vitória,Coritiba,A,3
7,27/05/17,Náutico,Ceará,B,3
8,28/05/17,Atlético-MG,Ponte Preta,A,3
9,28/05/17,Athletico-PR,Flamengo,A,3
10,28/05/17,Santos,Cruzeiro,A,3
11,28/05/17,Atlético-GO,Corinthians,A,3
12,28/05/17,Sport,Grêmio,A,3
13,28/05/17,Botafogo,Bahia,A,3
14,29/05/17,Chapecoense,Avai,A,3
