Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,18/07/17,Figueirense,Oeste,B,15
2,18/07/17,Guarani,Ceará,B,15
3,18/07/17,Paysandu,Náutico,B,15
4,18/07/17,Paraná,Brasil-RS,B,15
5,19/07/17,EC Vitória,Grêmio,A,15
6,19/07/17,Santos,Chapecoense,A,15
7,19/07/17,Avai,Corinthians,A,15
8,19/07/17,Ponte Preta,Coritiba,A,15
9,19/07/17,Atlético-MG,Bahia,A,15
10,19/07/17,São Paulo,Vasco,A,15
11,19/07/17,Flamengo,Palmeiras,A,15
12,20/07/17,Fluminense,Cruzeiro,A,15
13,20/07/17,Sport,Atlético-GO,A,15
14,20/07/17,Athletico-PR,Botafogo,A,15
