Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,11/07/17,Vila Nova,Paraná,B,13
2,11/07/17,Guarani,Goiás,B,13
3,11/07/17,América-MG,Boa Esporte,B,13
4,11/07/17,Londrina,ABC,B,13
5,12/07/17,Ponte Preta,Bahia,A,13
6,12/07/17,Atlético-MG,Santos,A,13
7,12/07/17,Fluminense,Botafogo,A,13
8,12/07/17,Palmeiras,Corinthians,A,13
9,12/07/17,Athletico-PR,Cruzeiro,A,13
10,12/07/17,EC Vitória,Vasco,A,13
11,13/07/17,São Paulo,Atlético-GO,A,13
12,13/07/17,Sport,Chapecoense,A,13
13,13/07/17,Flamengo,Grêmio,A,13
14,13/07/17,Avai,Coritiba,A,13
