Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,04/09/17,Guarani,Vila Nova,B,23
2,06/09/17,Goiás,Paraná,B,23
3,06/09/17,Náutico,Brasil-RS,B,23
4,08/09/17,Paysandu,América-MG,B,23
5,09/09/17,Atlético-MG,Palmeiras,A,23
6,09/09/17,Vasco,Grêmio,A,23
7,09/09/17,São Paulo,Ponte Preta,A,23
8,10/09/17,Athletico-PR,Coritiba,A,23
9,10/09/17,Santos,Corinthians,A,23
10,10/09/17,Sport,Avai,A,23
11,10/09/17,EC Vitória,Fluminense,A,23
12,10/09/17,Chapecoense,Cruzeiro,A,23
13,10/09/17,Botafogo,Flamengo,A,23
14,11/09/17,Atlético-GO,Bahia,A,23
