Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,13/06/17,América-MG,Internacional,B,7
2,13/06/17,CRB,Vila Nova,B,7
3,13/06/17,Náutico,Paraná,B,7
4,13/06/17,Guarani,Paysandu,B,7
5,14/06/17,Atlético-MG,Athletico-PR,A,7
6,14/06/17,Atlético-GO,Avai,A,7
7,14/06/17,EC Vitória,Botafogo,A,7
8,14/06/17,Sport,São Paulo,A,7
9,14/06/17,Flamengo,Ponte Preta,A,7
10,14/06/17,Santos,Palmeiras,A,7
11,14/06/17,Chapecoense,Vasco,A,7
12,14/06/17,Corinthians,Cruzeiro,A,7
13,15/06/17,Coritiba,Bahia,A,7
14,15/06/17,Fluminense,Grêmio,A,7
