Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,21/11/17,Santa Cruz,Juventude,B,38
2,25/11/17,América-MG,CRB,B,38
3,25/11/17,Internacional,Guarani,B,38
4,25/11/17,Vila Nova,Londrina,B,38
5,03/12/17,Atlético-MG,Grêmio,A,38
6,03/12/17,Botafogo,Cruzeiro,A,38
7,03/12/17,Santos,Avai,A,38
8,03/12/17,Sport,Corinthians,A,38
9,03/12/17,EC Vitória,Flamengo,A,38
10,03/12/17,Atlético-GO,Fluminense,A,38
11,03/12/17,São Paulo,Bahia,A,38
12,03/12/17,Chapecoense,Coritiba,A,38
13,03/12/17,Vasco,Ponte Preta,A,38
14,03/12/17,Athletico-PR,Palmeiras,A,38
