Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,25/10/08,Brasiliense,Criciúma,B,32
2,25/10/08,Grêmio Barueri,Paraná,B,32
3,25/10/08,São Caetano,Bahia,B,32
4,25/10/08,Juventude,Gama,B,32
5,29/10/08,Portuguesa,Ipatinga,A,32
6,29/10/08,Coritiba,Atlético-MG,A,32
7,29/10/08,Internacional,Nautico,A,32
8,29/10/08,Palmeiras,Goiás,A,32
9,29/10/08,Botafogo,São Paulo,A,32
10,29/10/08,Cruzeiro,Grêmio,A,32
11,29/10/08,EC Vitória,Flamengo,A,32
12,30/10/08,Sport,Santos,A,32
13,30/10/08,Vasco,Athletico-PR,A,32
14,05/11/08,Figueirense,Fluminense,A,32
