Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,01/07/08,Santo André,CRB,B,9
2,04/07/08,Bahia,Avaí,B,9
3,05/07/08,Sport,Cruzeiro,A,9
4,05/07/08,Athletico-PR,Santos,A,9
5,05/07/08,Flamengo,Nautico,A,9
6,05/07/08,Grêmio Barueri,Bragantino,B,9
7,05/07/08,Corinthians,São Caetano,B,9
8,06/07/08,Figueirense,Vasco,A,9
9,06/07/08,Portuguesa,EC Vitória,A,9
10,06/07/08,Atlético-MG,Palmeiras,A,9
11,06/07/08,Internacional,Coritiba,A,9
12,06/07/08,Botafogo,Grêmio,A,9
13,06/07/08,São Paulo,Ipatinga,A,9
14,06/07/08,Goiás,Fluminense,A,9
