Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,19/07/08,Ipatinga,Portuguesa,A,13
2,19/07/08,Fluminense,Figueirense,A,13
3,19/07/08,Grêmio,Cruzeiro,A,13
4,20/07/08,Athletico-PR,Vasco,A,13
5,20/07/08,Goiás,Palmeiras,A,13
6,20/07/08,Santos,Sport,A,13
7,20/07/08,Nautico,Internacional,A,13
8,20/07/08,Flamengo,EC Vitória,A,13
9,20/07/08,São Paulo,Botafogo,A,13
10,20/07/08,Atlético-MG,Coritiba,A,13
11,22/07/08,Santo André,América-RN,B,13
12,22/07/08,Bahia,São Caetano,B,13
13,22/07/08,Criciúma,Brasiliense,B,13
14,22/07/08,Marília,Avaí,B,13
