Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,14/10/08,Ceará,Grêmio Barueri,B,31
2,17/10/08,Gama,Avaí,B,31
3,17/10/08,Marília,América-RN,B,31
4,18/10/08,Ponte Preta,Fortaleza,B,31
5,22/10/08,Goiás,Vasco,A,31
6,23/10/08,Grêmio,Sport,A,31
7,23/10/08,Flamengo,Coritiba,A,31
8,23/10/08,São Paulo,EC Vitória,A,31
9,25/10/08,Fluminense,Palmeiras,A,31
10,25/10/08,Ipatinga,Botafogo,A,31
11,25/10/08,Santos,Figueirense,A,31
12,25/10/08,Athletico-PR,Cruzeiro,A,31
13,25/10/08,Nautico,Portuguesa,A,31
14,25/10/08,Atlético-MG,Internacional,A,31
