Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,26/09/08,CRB,Santo André,B,28
2,27/09/08,Bragantino,Grêmio Barueri,B,28
3,27/09/08,Ceará,ABC,B,28
4,27/09/08,Gama,Marília,B,28
5,01/10/08,Fluminense,Goiás,A,28
6,02/10/08,EC Vitória,Portuguesa,A,28
7,02/10/08,Cruzeiro,Sport,A,28
8,04/10/08,Grêmio,Botafogo,A,28
9,04/10/08,Ipatinga,São Paulo,A,28
10,04/10/08,Palmeiras,Atlético-MG,A,28
11,04/10/08,Nautico,Flamengo,A,28
12,04/10/08,Santos,Athletico-PR,A,28
13,04/10/08,Coritiba,Internacional,A,28
14,04/10/08,Vasco,Figueirense,A,28
