Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,31/10/08,Grêmio Barueri,Criciúma,B,33
2,31/10/08,Brasiliense,ABC,B,33
3,01/11/08,Flamengo,Portuguesa,A,33
4,01/11/08,Nautico,EC Vitória,A,33
5,01/11/08,Ipatinga,Coritiba,A,33
6,01/11/08,Bragantino,Bahia,B,33
7,01/11/08,América-RN,CRB,B,33
8,02/11/08,Santos,Palmeiras,A,33
9,02/11/08,Goiás,Cruzeiro,A,33
10,02/11/08,Athletico-PR,Sport,A,33
11,02/11/08,Atlético-MG,Botafogo,A,33
12,02/11/08,Fluminense,Vasco,A,33
13,02/11/08,Grêmio,Figueirense,A,33
14,02/11/08,São Paulo,Internacional,A,33
