Fase,Rodada,Data,Time da Casa,Placar,Time Visitante
R1,1,10/02/10,Corinthians-PR,1-0,Juventude
R1,1,10/02/10,Votoraty,4-0,Treze
R1,1,10/02/10,Cerâmica,1-1,Paraná
R1,1,10/02/10,Araguaia,1-3,Grêmio
R1,1,10/02/10,Potyguar Seridoense,0-0,Paysandu
R1,1,10/02/10,Vilhena,2-2,Atlético Paranaense
R1,1,10/02/10,ASSU,0-3,Atlético Goianiense
R1,1,10/02/10,São Domingos,1-1,Sampaio Corrêa
R1,1,10/02/10,JV Lideral,0-0,Ponte Preta
R1,1,10/02/10,Tigres do Brasil,2-2,Fortaleza
R1,1,10/02/10,Sousa,1-2,Vasco
R1,1,10/02/10,Vitória-ES,0-2,Bahia
R1,1,10/02/10,Flamengo-PI,0-1,Palmeiras
R1,1,10/02/10,São Raimundo-PA,1-0,Botafogo
R1,1,24/02/10,Corinthians-AL,3-1,Vitória
R1,1,24/02/10,Ivinhema,1-1,Náutico
R1,1,24/02/10,ASA,0-0,Nacional-AM
R1,1,24/02/10,Luverdense,0-1,Coritiba
R1,1,24/02/10,Ituiutaba,2-3,Goiás
R1,1,24/02/10,Uberaba,1-0,Londrina
R1,1,24/02/10,São José-AP,1-1,América-RN
R1,1,24/02/10,São Mateus,1-2,Remo
R1,1,24/02/10,Araguaína,0-1,Guarani
R1,1,24/02/10,Chapecoense,3-0,Brasiliense
R1,1,24/02/10,Brasília,2-4,Sport
R1,1,24/02/10,Ypiranga-RS,0-3,Avaí
R1,1,24/02/10,Confiança,1-1,Fluminense
R1,1,24/02/10,Naviraiense,0-1,Santos
R1,1,24/02/10,Picos,0-5,Ceará
R1,1,24/02/10,Juventus-AC,0-7,Atlético Mineiro
R1,1,24/02/10,América-AM,0-1,Santa Cruz
R1,1,24/02/10,Atlético Roraima,0-7,Portuguesa
R1,2,24/02/10,Juventude,0-1,Corinthians-PR
R1,2,24/02/10,Ponte Preta,4-0,JV Lideral
R1,2,24/02/10,Paraná,6-1,Cerâmica
R1,2,24/02/10,Atlético Paranaense,4-0,Vilhena
R1,2,24/02/10,Treze,2-1,Votoraty
R1,2,24/02/10,Fortaleza,3-2,Tigres do Brasil
R1,2,24/02/10,Paysandu,3-1,Potyguar Seridoense
R1,2,25/02/10,Vasco,0-0,Sousa
R1,2,25/02/10,Sampaio Corrêa,2-1,São Domingos
R1,2,25/02/10,Palmeiras,4-0,Flamengo-PI
R1,2,10/03/10,Fluminense,2-0,Confiança
R1,2,10/03/10,Náutico,3-1,Ivinhema
R1,2,10/03/10,Vitória,4-0,Corinthians-AL
R1,2,10/03/10,Santa Cruz,3-0,América-AM
R1,2,10/03/10,Londrina,0-2,Uberaba
R1,2,10/03/10,Brasiliense,2-1,Chapecoense
R1,2,10/03/10,Remo,4-1,São Mateus
R1,2,10/03/10,Coritiba,1-0,Luverdense
R1,2,10/03/10,Guarani,2-1,Araguaína
R1,2,10/03/10,Goiás,0-0,Ituiutaba
R1,2,10/03/10,América-RN,0-1,São José-AP
R1,2,10/03/10,Santos,10-0,Naviraiense
R1,1,10/03/10,Nacional-AM,2-2,ASA
R1,2,11/03/10,Botafogo,4-3,São Raimundo-PA
R2,1,17/03/10,Corinthians-PR,2-1,Ceará
R2,1,17/03/10,ASA,1-1,Vasco
R2,1,17/03/10,Votoraty,0-1,Grêmio
R2,1,17/03/10,Santa Cruz,0-1,Botafogo
R2,1,17/03/10,Chapecoense,1-0,Atlético Mineiro
R2,1,17/03/10,Sampaio Corrêa,1-1,Atlético Paranaense
R2,1,17/03/10,Fortaleza,2-0,Guarani
R2,1,17/03/10,São José-AP,0-1,Goiás
R2,1,17/03/10,Náutico,0-1,Vitória
R2,1,17/03/10,Ponte Preta,1-1,Portuguesa
R2,1,17/03/10,Paraná,1-1,Sport
R2,1,17/03/10,Avaí,1-1,Coritiba
R2,1,17/03/10,Uberaba,0-2,Fluminense
R2,1,17/03/10,Atlético Goianiense,2-0,Bahia
R2,1,17/03/10,Paysandu,1-2,Palmeiras
R2,1,18/03/10,Remo,0-4,Santos
R2,2,31/03/10,Portuguesa,2-1,Ponte Preta
R2,2,31/03/10,Ceará,1-1,Corinthians-PR
R2,2,31/03/10,Goiás,7-0,São José-AP
R2,2,31/03/10,Coritiba,0-1,Avaí
R2,2,31/03/10,Guarani,2-0,Fortaleza
R2,2,31/03/10,Sport,1-0,Paraná
R2,2,31/03/10,Palmeiras,1-0,Paysandu
R2,2,31/03/10,Bahia,1-0,Atlético Goianiense
R2,2,31/03/10,Vitória,5-0,Náutico
R2,2,31/03/10,Vasco,3-1,ASA
R2,2,01/04/10,Grêmio,3-0,Votoraty
R2,2,01/04/10,Atlético Paranaense,2-0,Sampaio Corrêa
R2,2,01/04/10,Atlético Mineiro,6-0,Chapecoense
R2,2,01/04/10,Botafogo,2-3,Santa Cruz
O,1,14/04/10,Portuguesa,0-1,Fluminense
O,1,14/04/10,Grêmio,3-1,Avaí
O,1,14/04/10,Corinthians-PR,0-1,Vasco
O,1,14/04/10,Santa Cruz,1-2,Atlético Goianiense
O,1,14/04/10,Atlético Mineiro,1-0,Sport
O,1,14/04/10,Santos,8-1,Guarani
O,1,15/04/10,Palmeiras,1-0,Atlético Paranaense
O,1,15/04/10,Vitória,4-0,Goiás
O,2,21/04/10,Vasco,2-1,Corinthians-PR
O,2,21/04/10,Guarani,3-2,Santos
O,2,21/04/10,Goiás,2-2,Vitória
O,2,21/04/10,Sport,0-2,Atlético Mineiro
O,2,21/04/10,Avaí,3-2,Grêmio
O,2,21/04/10,Atlético Paranaense,1-1,Palmeiras
O,2,22/04/10,Fluminense,3-2,Portuguesa
O,2,22/04/10,Atlético Goianiense,2-0,Santa Cruz
Q,1,28/04/10,Atlético Mineiro,3-2,Santos
Q,1,28/04/10,Vitória,2-0,Vasco
Q,1,29/04/10,Palmeiras,1-0,Atlético Goianiense
Q,1,29/04/10,Fluminense,2-3,Grêmio
Q,2,05/05/10,Atlético Goianiense,1-0,Palmeiras
Q,2,05/05/10,Vasco,3-1,Vitória
Q,2,05/05/10,Grêmio,2-0,Fluminense
Q,2,05/05/10,Santos,3-1,Atlético Mineiro
S,1,12/05/10,Grêmio,4-3,Santos
S,1,12/05/10,Atlético Goianiense,1-0,Vitória
S,2,19/05/10,Santos,3-1,Grêmio
S,2,19/05/10,Vitória,4-0,Atlético Goianiense
F,1,28/07/10,Santos,2-0,Vitória
F,2,04/08/10,Vitória,2-1,Santos
