Fase,Rodada,Data,Time da Casa,Placar,Time Visitante
R1,1,13/02/07,Sampaio Corrêa,1-3,Fortaleza
R1,1,14/02/07,SERC,0-2,Portuguesa
R1,1,14/02/07,Vitória-ES,1-0,Ipatinga
R1,1,14/02/07,Fast Clube,1-2,Vasco
R1,1,14/02/07,Coruripe,1-1,America-RJ
R1,1,14/02/07,Ulbra-RO,2-0,Santa Cruz
R1,1,14/02/07,CSA,1-1,Botafogo
R1,1,14/02/07,Operário-MS,0-5,Palmeiras
R1,1,14/02/07,Parnahyba,1-2,Náutico
R1,1,14/02/07,Caxias,2-1,Coritiba
R1,1,14/02/07,Galo Maringá,1-4,Noroeste
R1,1,14/02/07,Atlético-GO,2-1,Guarani
R1,1,14/02/07,Araguaína,1-3,Gama
R1,1,14/02/07,Baraúnas,1-1,Vitória
R1,1,14/02/07,Colo Colo-BA,1-3,Atlético-MG
R1,1,14/02/07,Baré,1-0,América-RN
R1,1,14/02/07,ADESG,1-2,Fluminense
R1,2,21/02/07,Ipatinga,3-1,Vitória-ES
R1,2,21/02/07,Coxim,2-5,Atlético-PR
R1,2,21/02/07,São José-AP,0-1,Paysandu
R1,2,21/02/07,Itabaiana,1-2,Bahia
R1,2,21/02/07,Guarani,0-0,Atlético-GO
R1,2,21/02/07,Madureira,2-3,Figueirense
R1,2,21/02/07,Pirambu,1-1,Corinthians
R1,2,21/02/07,Rio Branco-PR,1-1,Avaí
R1,2,21/02/07,Santa Cruz,1-2,Ulbra-RO
R1,2,21/02/07,Ferroviária,3-1,Juventude
R1,2,21/02/07,Villa Nova-MG,1-0,Ponte Preta
R1,2,21/02/07,Coritiba,4-1,Caxias
R1,2,21/02/07,America-RJ,3-1,Coruripe
R1,2,21/02/07,América-RN,2-0,Baré
R1,2,21/02/07,Ananindeua,2-0,São Raimundo-AM
R1,2,21/02/07,Barra,1-4,Brasiliense
R1,2,21/02/07,Moto Club,1-3,Goiás
R1,2,21/02/07,Campinense,1-1,Sport
R1,2,21/02/07,Náutico,6-0,Parnahyba
R1,2,21/02/07,Veranópolis,0-0,Cruzeiro
