Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,20/10/06,Santo André,Gama,B,31
2,21/10/06,Paysandu,Guarani,B,31
3,21/10/06,Ceará,São Raimundo,B,31
4,21/10/06,Paulista,Coritiba,B,31
5,25/10/06,Corinthians,Palmeiras,A,31
6,26/10/06,Vasco,Flamengo,A,31
7,26/10/06,Fluminense,Grêmio,A,31
8,26/10/06,Internacional,Juventude,A,31
9,26/10/06,Santa Cruz,Fortaleza,A,31
10,28/10/06,Athletico-PR,Paraná,A,31
11,28/10/06,Figueirense,São Paulo,A,31
12,28/10/06,Ponte Preta,Botafogo,A,31
13,28/10/06,Goiás,Cruzeiro,A,31
14,28/10/06,Santos,São Caetano,A,31
