Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,29/05/06,Coritiba,Ceará,B,9
2,29/05/06,CRB,Náutico,B,9
3,29/05/06,Avaí,Santo André,B,9
4,29/05/06,Guarani,Atlético-MG,B,9
5,31/05/06,Cruzeiro,Athletico-PR,A,9
6,31/05/06,Fortaleza,Vasco,A,9
7,31/05/06,Juventude,Ponte Preta,A,9
8,31/05/06,São Caetano,Internacional,A,9
9,31/05/06,São Paulo,Fluminense,A,9
10,31/05/06,Grêmio,Santos,A,9
11,31/05/06,Flamengo,Palmeiras,A,9
12,01/06/06,Botafogo,Figueirense,A,9
13,01/06/06,Paraná,Santa Cruz,A,9
14,01/06/06,Corinthians,Goiás,A,9
